word,count
，,336
的,286
。,158
我們,85
、,59
與,45
在,36
是,30
國家,28
新政府,27
經濟,26
這個,24
一個,24
年,23
要,22
民主,22
也,22
發展,20
有,19
會,19
就是,18
人民,18
我,17
未來,15
改革,15
共同,15
議題,14
司法,13
人,12
都,12
新,12
上,11
區域,11
及,10
合作,10
和平,9
必須,9
係,9
這,8
責任,8
模式,8
推動,8
積極,8
以及,8
兩岸,8
把,8
全球,8
我要,7
改變,7
團結,7
「,7
問題,7
 ,7
不,7
金,6
已經,6
大家,6
事情,6
結構,6
去,6
資源,6
需要,6
可以,6
透過,6
就,6
努力,6
過程,5
承擔,5
溝通,5
兩岸關,5
重要,5
精神,5
協商,5
轉型,5
相關,5
因為,5
處境,5
將會,5
過去,5
沒,5
關鍵,5
穩定,5
永續,4
價值,4
他們,4
公民,4
選舉,4
該,4
政治,4
今天,4
正義,4
每一個,4
國際,4
而,4
所,4
堅定,4
告訴,4
環境,4
從,4
不會,4
追求,4
決心,4
公平,4
應該,4
如果,4
集體,4
失去,4
提升,4
基礎,4
處理,4
規劃,4
20,4
並且,4
真相,4
制度,4
生活,4
勇敢,4
自由,4
各國,3
：,3
沒有,3
各位,3
國土,3
全球性,3
全體,3
一天,3
更,3
經貿,3
目標,3
越來,3
所有,3
不同,3
秉持,3
包括,3
原住,3
越,3
時代,3
原則,3
只是,3
國人,3
態度,3
第一,3
地,3
意識,3
民族,3
要承擔,3
同時,3
路,3
國民,3
世界,3
忘記,3
信任,3
爭議,3
以,3
政策,3
內,3
守護,3
和解,3
其他,3
之內,3
不要,3
新時代,3
企業,3
創新,3
由,3
不能,3
期待,3
各種,3
能源,3
每,3
後,3
向,3
地球,3
不過,3
中,3
完成,3
史事,3
文化,3
同胞,3
歷史,3
尤其,3
謝謝,2
第二,2
一樣,2
扛起,2
所以,2
妥善,2
被,2
難關,2
事務,2
現場,2
第四,2
參與區域,2
貢獻,2
另外,2
相互,2
替,2
諒解,2
以前,2
之間,2
氣候,2
做出,2
保障,2
當中,2
世代,2
記得,2
無法,2
相信,2
結束,2
同理,2
及區域,2
能力,2
展現,2
國是,2
依據,2
顧,2
一步,2
發生,2
實,2
普遍,2
憲法,2
維持,2
對話,2
以來,2
元首,2
開發,2
建構,2
可能,2
意見,2
這裡,2
友邦,2
再,2
也將,2
務實,2
只有,2
會議,2
調整,2
會用,2
教育,2
破洞,2
變遷,2
信念,2
能夠,2
1992,2
多年,2
做到,2
請給,2
完整,2
力量,2
種種,2
陳,2
對外,2
治安,2
好,2
逐漸,2
照顧,2
深化,2
心,2
邀請,2
第三,2
機會,2
突破,2
防止,2
社區,2
規畫,2
變得,2
進程,2
市場,2
形成,2
照體系,2
友好,2
互動,2
連結,2
感動,2
親愛的,2
倒退,2
情勢,2
期照,2
總統府,2
委員會,2
起來,2
方法,2
特別,2
民間,2
話,2
人口,2
做法,2
利用,2
不再,2
汙染,2
防治,2
維護,2
只要,2
存異,2
副,2
一直,2
缺席,2
求同,2
歷史會,2
召開,2
南向,2
驚,2
缺乏,2
這一條,2
很多,2
代表,2
多元,2
立刻,2
調查,2
價值觀,2
成果,2
土地,2
家屬,2
實現,2
臨,2
達成,2
全民,2
既有,2
領導,2
融入,1
平原,1
旅程,1
國家偉大,1
海洋,1
代工,1
高度,1
古調,1
第三件,1
歌曲,1
亞太地區,1
美國,1
一切,1
減碳,1
第四件,1
輪,1
表演,1
繁榮,1
改革方案,1
迫切需要,1
體,1
雖然,1
分享,1
從此,1
召集人,1
成立,1
進,1
東協,1
藉,1
各方,1
相同,1
困境,1
就會,1
艱鉅,1
出面,1
任總統,1
顧系統,1
輕人處,1
凝聚,1
薪資,1
單一市場,1
工程,1
這段,1
進行後續,1
第五,1
人心,1
創業,1
這象,1
清責任,1
核心,1
老人,1
疾病,1
使節,1
政治工作者,1
十分,1
設立,1
享受,1
夥伴,1
第五件,1
全力,1
而偉大,1
從現,1
永不,1
良性,1
我願,1
實際,1
三年,1
期許,1
跨國,1
官方,1
老年,1
經有,1
制定,1
給我們,1
之,1
再多個,1
歐洲,1
自信,1
則,1
平等,1
準備,1
不改,1
更會,1
看待,1
溫室,1
兩會會,1
亞太區域,1
以往,1
形態,1
COP21,1
成員,1
(,1
停滯,1
政者,1
籌備,1
痕跡,1
裡面,1
事實,1
正面,1
育語,1
出發,1
悲劇,1
實質,1
一次,1
尊嚴,1
用,1
克服,1
開放,1
輕重,1
交換,1
得到,1
現行,1
覺得,1
擴大經濟,1
激發,1
需求,1
研發,1
發出,1
交接,1
秩序,1
徵了,1
減量,1
安心,1
正式,1
以下,1
結語,1
渡過,1
計畫,1
充滿,1
均衡,1
卻始,1
明天,1
因素,1
自,1
互為,1
無足,1
走向,1
重新,1
深切,1
一定,1
如同,1
期,1
面,1
接下,1
拋下,1
就任,1
心理健康,1
基,1
第一次,1
階段,1
絕不,1
優先,1
托育,1
家務事,1
兩千,1
珍惜,1
許多,1
兩岸過,1
被邊,1
一刻起,1
才,1
貴賓,1
協商來,1
字,1
時間,1
公義,1
繼續,1
始終,1
動力,1
一句,1
第一步,1
造福,1
零碎,1
做好,1
暖化,1
形塑,1
格局,1
推向,1
綁,1
貧富,1
真正,1
使,1
言,1
普及,1
立場,1
首先,1
自然,1
幾任,1
維護者,1
三百,1
節團,1
優勢,1
過長,1
完善,1
會前,1
科技,1
復,1
路並,1
義無反顧,1
到,1
急速,1
放下,1
醫療,1
確定,1
之中,1
同盟,1
加薪,1
共識,1
請,1
才能,1
低落,1
走上,1
規則,1
需作,1
平移,1
支持者,1
很困,1
自主性,1
貿易,1
過於依賴,1
生產,1
發揮區域,1
不得,1
短視,1
告別,1
能量,1
地揮,1
防制,1
氣體,1
駐台,1
總動員,1
角色,1
聯合,1
主義的,1
更應,1
久,1
促成,1
RCEP,1
許多來,1
還是,1
信心,1
報告,1
輸贏,1
性,1
進行,1
等待,1
人生,1
傳統,1
觀念,1
這個歷,1
投資,1
食品安全,1
動彈,1
把關,1
雙邊,1
原民史觀,1
),1
轉,1
堅持,1
嚴格,1
迎,1
順利渡,1
防線,1
國家的關,1
線,1
所有人,1
重建,1
補起,1
功能,1
釐,1
包袱,1
曾經,1
已經面,1
社會震,1
維護永續,1
財政並,1
茫然,1
緣化,1
這樣,1
什麼,1
經激,1
會積,1
談的歷,1
道,1
月,1
屈服,1
幾件,1
並在,1
此刻,1
近利,1
不足以,1
那個,1
1996,1
協議,1
之下,1
將領導,1
不樂觀,1
架,1
普世價值,1
縮,1
拋下過,1
別,1
這一點,1
達四個,1
道歉,1
唱國歌,1
主權,1
以永續,1
走向世界,1
廢棄物,1
代交,1
新時,1
一套,1
整合,1
整理,1
各層面,1
跟,1
透明,1
平價,1
兒少,1
坦誠交換,1
亞洲,1
認識,1
互補,1
職典禮,1
將和相關,1
健全,1
複,1
很,1
但,1
轉換,1
一再,1
塑造,1
超高,1
熟悉,1
有過,1
不幸,1
遲疑,1
民主化,1
隨機,1
對過,1
經有過,1
感受,1
幾個,1
幾件關,1
佈,1
成見,1
充分,1
憲政體制,1
2016,1
低薪,1
唯有,1
生存,1
台灣成,1
脈動,1
攜手,1
下一個,1
菁英,1
除了,1
政權,1
一致,1
身為,1
卻,1
原因,1
權,1
當前,1
網還,1
高素質,1
仍然,1
優質,1
現象,1
之外,1
願意,1
那,1
時期,1
老年人,1
地方,1
困擾,1
矛盾,1
剛好,1
成員廣泛,1
南海,1
引擎,1
實與,1
則是,1
頸,1
妄自菲薄,1
局,1
多邊,1
意承諾,1
常態,1
權益,1
挖掘,1
健康,1
查報,1
時候,1
走進,1
生產力,1
增進,1
除此之外,1
結果,1
承受,1
想,1
上路,1
中許,1
攸關,1
援助,1
換骨,1
檢討,1
有人,1
了解,1
部落,1
決問題,1
出生率,1
霍,1
出口,1
關切,1
出現,1
彌平,1
不好,1
一些,1
選項,1
焦慮,1
民主自由,1
人權,1
朋友,1
實力,1
社會力,1
有責任,1
歌詞,1
92,1
殺,1
為雙,1
聯手,1
尋求,1
將從,1
誤判,1
循環,1
其中,1
同樣,1
按部就班,1
拋棄,1
則是關,1
一點,1
小朋友,1
處理過,1
尚未,1
能,1
先唱,1
靭,1
第二件,1
或是,1
開始,1
依照,1
可能性,1
公務員,1
方向,1
眼前,1
主導,1
加強,1
重大,1
故事,1
自主,1
一月,1
舊,1
萬,1
宣示,1
集結,1
條例,1
擔任,1
破產,1
謹慎,1
自治,1
雜,1
行政院,1
全國,1
執行,1
交到,1
統性,1
人力,1
三十年,1
多國家,1
日本,1
伴關,1
時,1
研究,1
栽培,1
台語,1
思維,1
看到,1
自由人,1
領土,1
過許,1
籌碼,1
演講,1
誕生,1
幸福,1
變好,1
此,1
成功,1
這一邊,1
無奈,1
島上,1
解讀,1
鼓,1
可靠,1
走,1
治理,1
執,1
一首,1
彼,1
更加,1
一道,1
一代人,1
有限,1
整體,1
進來,1
可行,1
絕不退,1
所必須,1
致力,1
辦法,1
一群,1
走出,1
記取,1
及其,1
親近,1
根據,1
面向,1
印度,1
內部,1
中小,1
多元性,1
第三次,1
交在,1
職業,1
專責,1
規模,1
老化,1
課題,1
所講,1
節目,1
保守,1
人才,1
策略,1
應擱,1
利益,1
進化,1
反毒,1
兩會,1
有效率,1
脫節,1
呼籲,1
控制,1
經驗,1
事,1
第十四,1
變成,1
驕傲,1
巴黎,1
敏捷,1
政黨,1
催生,1
勞動,1
多,1
順序,1
遙無期,1
誠懇,1
執政黨,1
擔子,1
善,1
預計,1
就業,1
不應,1
同步,1
根本,1
喪失,1
輕人,
